wkr_nummer,wkr_name,land,land_nr,wbr,waehlende,gueltige,cdu,spd,afd,fdp,linke,gruene,csu,cdu_perc,spd_perc,afd_perc,fdp_perc,linke_perc,gruene_perc,csu_perc,wbt,auslaender,bevdichte,wohnflaeche,abitur,einkommen,bip,sozbesch,sgbII,alq,alter18_24,alter_25_34,==...,ost,alter18_34
168,Kassel,HE,6,218474,162809,160829,28183,51812,12141,16448,10518,30348,NA,17.523580946222385,32.21558301052671,7.549011683216335,10.227011297713721,6.539865322796262,18.869731205193094,NA,73.61470930179334,15.2,852.4,43.4,32.9,20899,44710,471.8,95.3,7.3,8.9,14.5,TRUE,west,23.4
169,Werra-Meißner – Hersfeld-Rotenburg,HE,6,171886,130905,129026,27867,48579,14899,12807,4524,11595,NA,21.597972501666334,37.65055105172601,11.547285043324601,9.925906406460713,3.506270054097624,8.986560848201137,NA,75.06486857568389,9,104.3,51,23,21564,31395,351.2,52.8,5,7.1,10.9,TRUE,west,18
170,Schwalm-Eder,HE,6,185944,141494,139171,29913,50100,15047,15422,4411,14089,NA,21.493701992512808,35.998879076819165,10.81187891155485,11.081331599255591,3.169482147861264,10.12351711204202,NA,74.84565245450243,7.4,104.3,52.6,30.2,22413,32592,335.8,44.3,4.4,7,10.9,TRUE,west,17.9
171,Marburg,HE,6,181588,141581,140269,31042,42098,12558,14789,8089,22347,NA,22.130335284346504,30.012333445023494,8.952797838439,10.543313205341166,5.766776693353485,15.931531557222195,NA,77.24574311077824,12,195.7,47.5,34.1,21581,38530,374.7,50.7,4.6,10.7,14,TRUE,west,24.7
172,Lahn-Dill,HE,6,206532,153384,151400,37725,44546,17513,17327,5102,16957,NA,24.917437252311757,29.422721268163805,11.567371202113605,11.444517833553501,3.3698811096433285,11.200132100396301,NA,73.30583154184339,10.7,239.3,50,21.1,23504,34649,372.2,66.7,5.7,7.4,11.6,TRUE,west,19
173,Gießen,HE,6,217514,161919,159702,36201,44046,14836,17106,8028,26109,NA,22.667843859187737,27.5801179697186,9.28980225670311,10.711199609272269,5.026862531464853,16.348574219483787,NA,73.4214809161709,12.2,218.6,47.2,32.9,21486,34680,362,71.9,5.8,10.6,14.8,TRUE,west,25.4
174,Fulda,HE,6,208542,163560,161704,50312,36343,21443,20528,4447,16324,NA,31.113639736803044,22.475016078761193,13.260649087221097,12.694800375995646,2.750086577944887,10.094988373818829,NA,77.540255679911,9.1,128.2,49.9,22.6,22678,35878,400.9,39.9,3.8,8,12,TRUE,west,20
175,Main-Kinzig – Wetterau II – Schotten,HE,6,178307,137070,135037,32685,36943,17079,17046,4308,15009,NA,24.20447729140902,27.357687152410083,12.64764471959537,12.623206972903722,3.1902367499277973,11.114731518028393,NA,75.73286522682788,10.7,151.9,49.9,28.6,24511,34219,313.9,57.2,5.2,7.2,11,TRUE,west,18.2
176,Hochtaunus,HE,6,179842,144012,142682,37331,35171,11156,21996,4441,22486,NA,26.16377679034496,24.64992080290436,7.818785831429333,15.416100138770133,3.112515944548016,15.759521172958046,NA,79.33741840059608,14.6,310.6,49.4,39.7,32099,44772,383.2,49.6,5.1,6.8,10.1,TRUE,west,16.9
177,Wetterau I,HE,6,176897,138935,137257,32419,35909,11680,19043,4905,21917,NA,23.6191961065738,26.16187152567811,8.509584210641352,13.873973640688636,3.5735882322941634,15.967855919916651,NA,77.59147978767305,13.6,325.9,47.9,40.7,24647,29667,284.5,49.7,4.8,7.3,11.5,TRUE,west,18.8
178,Rheingau-Taunus – Limburg,HE,6,220466,172247,170482,44413,43708,14523,23745,5395,25328,NA,26.05143064957004,25.637897256015297,8.518787907227743,13.928156638237468,3.1645569620253164,14.856700414119967,NA,77.3280233686827,12.8,254.5,49.7,31.8,24946,27636,272.1,52.5,5.1,7.3,10.8,TRUE,west,18.1
179,Wiesbaden,HE,6,186735,136214,134866,28523,33546,9588,18947,7128,26818,NA,21.14914062847567,24.873578218379723,7.109278839737221,14.048759509438998,5.285246096125042,19.884922812272922,NA,72.2232040056765,19.8,1365.9,41.2,37.4,25338,63527,494.1,111.6,8.1,8.1,13.2,TRUE,west,21.299999999999997
180,Hanau,HE,6,176271,131412,129652,29223,35739,13257,17158,4948,18258,NA,22.53956745750162,27.565328726128406,10.225064017523833,13.233887637676242,3.816369975010027,14.082312652330856,NA,73.55265471915403,19.2,756.8,43.4,23.1,24607,36533,326.5,61.4,5.5,7.5,12.1,TRUE,west,19.6
181,Main-Taunus,HE,6,195514,157718,156281,42260,34468,10427,26335,4708,26771,NA,27.041035058644365,22.055144259378938,6.67195628387328,16.85105675034073,3.0125223155725904,17.130041399786283,NA,79.93340630338493,17.1,1050.4,46.9,38.4,29595,54338,430.3,46.6,4.8,6.7,10.4,TRUE,west,17.1
182,Frankfurt am Main I,HE,6,201216,145010,143763,25915,32499,7846,21361,10384,33821,NA,18.02619589184978,22.60595563531646,5.457593400249021,14.8584823633341,7.22299896357199,23.525524648205728,NA,71.44710162213741,33,4467,37,38.3,23436,94190,788.9,94.3,7.3,7.6,18.1,TRUE,west,25.700000000000003
183,Frankfurt am Main II,HE,6,227207,175004,173651,31660,38777,8188,25530,11901,44370,NA,18.23197102233791,22.330421362387778,4.715204634583158,14.701902090975578,6.853401362502952,25.551249344950506,NA,76.42854313467454,26.1,2348.1,37,38.3,23436,94190,788.9,94.3,7.3,7.6,18.1,TRUE,west,25.700000000000003
184,Groß-Gerau,HE,6,174082,129261,127584,27301,37973,11246,14999,5394,18928,NA,21.398451216453473,29.763136443441184,8.814584900928017,11.756176323049912,4.2278028592927015,14.835716077251066,NA,73.28959915442148,22.7,608.6,41.5,26.8,22014,45716,360.7,72.9,6.1,7.8,12.9,TRUE,west,20.7
185,Offenbach,HE,6,219511,158052,155814,35754,38799,12098,20625,7787,27062,NA,22.946590165196966,24.900843313181102,7.764385741974405,13.236936347183178,4.997625373843172,17.368144069210725,NA,70.98231979262998,27.3,1520.8,39.3,34.2,22717,39661,358.3,83.2,7.7,7.6,13.6,TRUE,west,21.2
186,Darmstadt,HE,6,240763,188916,187028,34472,49273,12194,22256,10764,41948,NA,18.431464807408517,26.345253117180317,6.519879376350065,11.899822486472614,5.755287978270633,22.428727249395813,NA,77.681371307053,17.5,778.7,42.9,42.3,24169,51208,444.1,67.3,5.7,9.2,14.7,TRUE,west,23.9
187,Odenwald,HE,6,233901,179830,177126,42857,49518,15983,22433,6333,24694,NA,24.195770242652124,27.956370041665256,9.02351998012714,12.664995539898152,3.575420886826327,13.941487980307803,NA,75.72691010299229,14.2,290.1,47.4,32,24193,32679,303.6,56,5.4,7.3,11.2,TRUE,west,18.5
188,Bergstraße,HE,6,197782,153176,151443,37064,41124,14377,20432,4629,21457,NA,24.47389446854592,27.15477110199877,9.493340728855081,13.491544673573555,3.0565955508012914,14.168366976354141,NA,76.57066871606112,13.8,375.7,48.1,36.1,24752,28488,281.7,52.7,4.3,7,11.2,TRUE,west,18.2
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,TH,16,209203,154488,152678,33662,37282,34296,13695,15166,7176,NA,22.04770824873263,24.418711274708865,22.462961264884264,8.969858132802369,9.933323727059564,4.700087766410354,NA,72.98078899442169,3.7,95.6,45.7,32.1,19239,25185,325.4,62.4,7.2,5.4,9.8,TRUE,ost,15.200000000000001
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,TH,16,212267,156113,154221,28249,38363,37737,13258,15872,7469,NA,18.317220093242813,24.87534123109045,24.469430233236718,8.596754008857419,10.291724213952705,4.8430499088969725,NA,72.65425148515784,4.3,112.1,45.4,29.1,19964,28268,369.9,55.9,6.9,5.1,9.7,TRUE,ost,14.799999999999999
191,Jena – Sömmerda – Weimarer Land I,TH,16,198697,154163,152575,23869,34195,30263,14070,19505,16709,NA,15.644109454366706,22.411928559724725,19.834835326888413,9.221694248730133,12.783876781910536,10.951335408815337,NA,76.78777233677408,6.4,156.6,43.1,38.5,19332,33607,407.6,53.1,6.1,7.1,12.9,TRUE,ost,20
192,Gotha – Ilm-Kreis,TH,16,190519,142566,140648,21820,33437,36522,12126,15454,8100,NA,15.513907058756612,23.773533928673,25.966952960582447,8.621523235310848,10.98771400944201,5.759058074057221,NA,73.82360814406962,6.4,138.5,44,33.1,19466,28603,362.1,57.4,6.1,5.7,10.5,TRUE,ost,16.2
193,Erfurt – Weimar – Weimarer Land II,TH,16,217944,166604,164998,23580,39378,26803,15504,23055,21831,NA,14.291082316149287,23.865743827197903,16.24443932653729,9.396477533061006,13.97289664117141,13.231069467508696,NA,75.70660353118232,8.5,645.5,39,40.8,19288,37293,475.6,81.2,6.9,7.9,13.9,TRUE,ost,21.8
